server,cpu_mean,cpu_median,cpu_p25,cpu_p75,cpu_max,cpu_std,mem_mean,mem_median,mem_p25,mem_p75,mem_max,mem_std,uptime_ratio,samples_count,cpu_cv,mem_cv,cpu_peak_to_mean,mem_peak_to_mean,cpu_iqr,mem_iqr,cluster
gti-com-hp37.hci.bri.co.id,52.008208092485546,52.08,46.76,55.67,100.0,9.455988733770253,75.37381502890173,75.93,71.43,78.17,100.0,6.3507127791135405,1.0,173,0.18181723771283922,0.08425622050148834,1.922773417268506,1.3267206915512433,8.910000000000004,6.739999999999995,0
gti-com-hp38.hci.bri.co.id,80.1157225433526,81.41,71.98,86.67,100.0,9.976114449221477,62.66121387283237,62.51,59.23,65.76,88.22,5.011530219987998,1.0,173,0.12452130658652119,0.07997818603001586,1.2481944470498598,1.4078884615774894,14.689999999999998,6.530000000000008,0
gti-com-hp39.hci.bri.co.id,78.83739884393064,79.54,72.17,86.49,100.0,10.274169951614082,59.01624277456647,58.67,54.79,61.84,95.35,6.310670392373773,1.0,173,0.13032101644998714,0.10693107686437482,1.2684335285841128,1.6156569025280587,14.319999999999993,7.050000000000004,0
gti-com-hp40.hci.bri.co.id,83.09063583815029,84.44,76.33,90.33,100.0,10.258695752718653,63.68815028901734,63.16,59.82,66.33,95.92,6.108352082462867,1.0,173,0.12346392164697419,0.0959103389679731,1.2035050519385475,1.5060886454499662,14.0,6.509999999999998,0
gti-com-hp41.hci.bri.co.id,64.89624277456647,64.94,59.11,69.82,100.0,9.594340342886342,67.57710982658959,67.61,64.01,70.72,98.87,6.21358187665279,1.0,173,0.1478412298261197,0.09194802637457468,1.540921257142348,1.463069377392899,10.709999999999994,6.709999999999994,0
gti-com-hp42.hci.bri.co.id,72.06658959537573,73.94,65.45,76.92,100.0,8.369438065609735,61.49687861271677,61.84,58.13,63.6,89.82,4.778459853591819,1.0,173,0.1161347874597742,0.07770247793688337,1.3876055542722208,1.4605619346251886,11.469999999999999,5.469999999999999,0
gti-com-hp43.hci.bri.co.id,58.665144508670515,58.69,53.25,63.26,95.74,7.975219732114438,69.01780346820809,69.46,65.43,71.4,97.87,5.752205828322145,1.0,173,0.13594477263983773,0.08334379738659466,1.6319741611793002,1.4180399126304013,10.009999999999998,5.969999999999999,0
gti-com-hp44.hci.bri.co.id,55.29936416184972,54.83,47.9,62.06,99.09,11.108770636685033,60.10306358381503,59.82,55.76,63.77,80.87,6.479481961555233,1.0,173,0.20088423809308145,0.10780618449705902,1.7918831708441387,1.3455220945139514,14.160000000000004,8.010000000000005,0
gti-com-hp45.hci.bri.co.id,47.23554913294798,46.74,42.01,51.81,91.29,9.079920433275106,71.5742774566474,71.64,68.4,74.88,84.24,5.001020497417853,1.0,173,0.19222641844850774,0.06987175665792751,1.9326545721540673,1.1769591394202232,9.800000000000004,6.47999999999999,0
gti-com-hp46.hci.bri.co.id,24.610924855491326,24.67,20.33,29.85,44.1,7.252100678834263,31.750578034682082,31.75,28.1,35.49,50.49,5.437726815476046,1.0,173,0.2946699777199204,0.17126386831560228,1.7918871500743363,1.5902072694502853,9.520000000000003,7.390000000000001,1
